order_id,order_date,customer_id,product_id,employee_id,quantity,total_amount
ORD0000077,2023-06-05,CUST0115,P009,E006,7,280
ORD0000078,2023-10-10,CUST0135,P024,E007,17,2975
ORD0000079,2024-12-22,CUST0152,P027,E009,13,1235
ORD0000080,2023-08-16,CUST0283,P018,E010,6,720
ORD0000081,2023-01-27,CUST0127,P019,E010,8,1160
ORD0000082,2023-02-23,CUST0003,P011,E005,16,880
ORD0000083,2022-10-16,CUST0048,P031,E010,13,715
ORD0000084,2023-01-14,CUST0230,P010,E004,9,315
ORD0000085,2022-08-19,CUST0304,P024,E002,20,3500
ORD0000086,2024-10-14,CUST0177,P016,E007,9,675
ORD0000087,2022-02-10,CUST0285,P015,E004,5,100
ORD0000088,2024-11-17,CUST0202,P008,E002,2,310
ORD0000089,2022-05-15,CUST0017,P026,E007,10,850
ORD0000090,2022-07-20,CUST0234,P030,E010,15,1800
ORD0000091,2024-02-19,CUST0007,P017,E007,16,960
ORD0000092,2024-07-18,CUST0171,P025,E008,19,1710
ORD0000093,2024-11-22,CUST0291,P010,E004,14,490
ORD0000094,2024-12-07,CUST0168,P001,E002,20,6400
ORD0000095,2023-05-18,CUST0195,P016,E002,6,450
ORD0000096,2023-02-11,CUST0205,P030,E003,4,480
ORD0000097,2024-03-15,CUST0134,P017,E010,6,360
ORD0000098,2022-04-09,CUST0258,P007,E002,13,1235
ORD0000099,2023-11-15,CUST0039,P026,E002,13,1105
ORD0000100,2023-12-27,CUST0102,P028,E010,17,2380
ORD0000101,2024-08-18,CUST0033,P008,E002,18,2790
ORD0000102,2023-09-05,CUST0151,P021,E003,10,1800
ORD0000103,2023-10-05,CUST0033,P011,E005,12,660
ORD0000104,2024-10-25,CUST0089,P015,E001,15,300
ORD0000105,2023-05-18,CUST0078,P006,E002,7,210
ORD0000106,2024-02-06,CUST0030,P010,E007,4,140
ORD0000107,2023-02-02,CUST0265,P022,E005,9,1170
ORD0000108,2024-05-20,CUST0350,P008,E004,12,1860
ORD0000109,2024-03-05,CUST0126,P026,E004,5,425
ORD0000110,2023-01-28,CUST0071,P004,E001,11,1210
ORD0000111,2022-07-26,CUST0062,P029,E009,8,640
ORD0000112,2024-11-04,CUST0200,P009,E008,8,320
ORD0000113,2024-06-10,CUST0327,P018,E009,10,1200
ORD0000114,2024-05-13,CUST0234,P031,E006,14,770
ORD0000115,2024-01-13,CUST0219,P027,E009,8,760
ORD0000116,2023-07-18,CUST0153,P025,E008,15,1350
ORD0000117,2024-10-17,CUST0175,P028,E008,14,1960
ORD0000118,2022-04-06,CUST0307,P013,E009,4,240
ORD0000119,2023-04-30,CUST0284,P011,E009,12,660
ORD0000120,2022-08-19,CUST0202,P025,E010,16,1440
ORD0000121,2024-01-19,CUST0125,P016,E001,5,375
ORD0000122,2023-06-25,CUST0189,P020,E004,8,1680
ORD0000123,2024-11-25,CUST0323,P019,E001,16,2320
ORD0000124,2023-06-09,CUST0204,P021,E006,4,720
ORD0000125,2023-08-01,CUST0190,P008,E002,13,2015
ORD0000126,2023-11-13,CUST0154,P004,E007,3,330
ORD0000127,2023-07-11,CUST0233,P021,E009,11,1980
ORD0000128,2024-10-09,CUST0233,P029,E010,17,1360
ORD0000129,2023-10-08,CUST0262,P027,E004,14,1330
ORD0000130,2024-03-06,CUST0067,P011,E010,16,880
ORD0000131,2024-11-17,CUST0219,P023,E010,12,780
ORD0000132,2022-07-09,CUST0270,P025,E008,13,1170
ORD0000133,2023-09-25,CUST0113,P001,E004,10,3200
ORD0000134,2023-09-20,CUST0306,P008,E003,9,1395
ORD0000135,2024-08-30,CUST0075,P020,E010,7,1470
ORD0000136,2023-12-11,CUST0244,P012,E004,3,75
ORD0000137,2023-10-11,CUST0243,P025,E010,15,1350
ORD0000138,2022-11-14,CUST0145,P016,E006,18,1350
ORD0000139,2023-11-15,CUST0183,P020,E005,20,4200
ORD0000140,2023-10-26,CUST0188,P016,E007,10,750
ORD0000141,2023-03-18,CUST0174,P009,E002,12,480
ORD0000142,2023-07-18,CUST0062,P011,E006,18,990
ORD0000143,2024-08-09,CUST0244,P009,E009,2,80
ORD0000144,2023-11-30,CUST0144,P032,E001,7,770
ORD0000145,2022-04-23,CUST0235,P018,E004,11,1320
ORD0000146,2022-01-02,CUST0304,P023,E007,8,520
ORD0000147,2023-10-04,CUST0054,P011,E004,9,495
ORD0000148,2022-08-08,CUST0161,P017,E002,9,540
ORD0000149,2024-05-04,CUST0199,P007,E006,20,1900
ORD0000150,2023-01-20,CUST0328,P025,E004,19,1710
ORD0000151,2024-12-12,CUST0117,P016,E001,1,75
ORD0000152,2023-12-31,CUST0123,P013,E004,7,420
ORD0000153,2022-09-04,CUST0030,P013,E008,18,1080
ORD0000154,2024-04-15,CUST0007,P012,E007,9,225
ORD0000155,2022-07-22,CUST0317,P005,E001,1,65
ORD0000156,2022-05-03,CUST0142,P032,E008,12,1320
ORD0000157,2023-02-05,CUST0189,P027,E004,6,570
ORD0000158,2024-02-06,CUST0320,P003,E005,10,1800
ORD0000159,2022-10-21,CUST0055,P017,E010,4,240
ORD0000160,2022-10-07,CUST0323,P028,E009,15,2100
ORD0000161,2024-06-02,CUST0090,P009,E004,16,640
ORD0000162,2022-07-17,CUST0314,P001,E002,2,640
ORD0000163,2024-09-08,CUST0162,P018,E006,12,1440
ORD0000164,2024-01-22,CUST0094,P004,E005,4,440
ORD0000165,2022-05-24,CUST0255,P021,E010,3,540
ORD0000166,2023-09-01,CUST0157,P024,E005,7,1225
ORD0000167,2022-07-06,CUST0165,P005,E004,5,325
ORD0000168,2023-04-09,CUST0236,P009,E005,1,40
ORD0000169,2023-10-22,CUST0345,P030,E005,11,1320
ORD0000170,2024-02-03,CUST0068,P020,E002,7,1470
ORD0000171,2024-08-12,CUST0318,P024,E006,20,3500
ORD0000172,2023-02-07,CUST0251,P032,E001,6,660
ORD0000173,2022-05-27,CUST0001,P028,E003,19,2660
ORD0000174,2024-05-13,CUST0200,P002,E004,12,1020
ORD0000175,2023-05-04,CUST0117,P016,E008,1,75
ORD0000176,2024-07-17,CUST0057,P002,E010,4,340
ORD0000177,2023-07-05,CUST0313,P020,E001,9,1890
ORD0000178,2022-12-04,CUST0322,P014,E003,18,540
ORD0000179,2024-05-21,CUST0337,P024,E007,8,1400
ORD0000180,2023-10-03,CUST0317,P013,E009,7,420
ORD0000181,2023-04-18,CUST0308,P023,E005,9,585
ORD0000182,2022-05-31,CUST0049,P027,E005,8,760
ORD0000183,2022-09-20,CUST0023,P032,E010,13,1430
ORD0000184,2022-05-24,CUST0213,P013,E005,6,360
ORD0000185,2022-12-12,CUST0221,P012,E009,16,400
ORD0000186,2023-09-16,CUST0325,P002,E010,6,510
ORD0000187,2024-10-13,CUST0149,P025,E006,19,1710
ORD0000188,2024-05-30,CUST0186,P024,E009,19,3325
ORD0000189,2022-01-02,CUST0265,P014,E001,9,270
ORD0000190,2024-06-15,CUST0199,P029,E001,3,240
ORD0000191,2022-09-11,CUST0082,P025,E004,18,1620
ORD0000192,2023-03-29,CUST0079,P005,E007,14,910
ORD0000193,2024-11-26,CUST0217,P014,E010,18,540
ORD0000194,2024-10-11,CUST0176,P007,E009,8,760
ORD0000195,2022-01-09,CUST0336,P019,E006,18,2610
ORD0000196,2024-03-26,CUST0212,P017,E010,8,480
ORD0000197,2022-07-27,CUST0037,P004,E008,20,2200
ORD0000198,2023-02-08,CUST0115,P016,E005,14,1050
ORD0000199,2022-06-01,CUST0005,P007,E010,6,570
ORD0000200,2022-02-23,CUST0240,P003,E001,12,2160
ORD0000201,2023-09-20,CUST0007,P011,E003,15,825
ORD0000202,2023-08-10,CUST0298,P029,E003,11,880
ORD0000203,2022-04-14,CUST0316,P023,E009,9,585
ORD0000204,2022-09-11,CUST0260,P017,E002,19,1140
ORD0000205,2023-05-25,CUST0237,P012,E002,6,150
ORD0000206,2022-04-09,CUST0333,P022,E010,20,2600
ORD0000207,2022-06-02,CUST0099,P020,E001,18,3780
ORD0000208,2024-07-02,CUST0116,P021,E005,15,2700
ORD0000209,2024-05-27,CUST0125,P013,E002,14,840
ORD0000210,2022-12-04,CUST0110,P026,E008,8,680
ORD0000211,2024-04-01,CUST0203,P004,E001,4,440
ORD0000212,2024-08-14,CUST0269,P014,E002,3,90
ORD0000213,2022-06-10,CUST0287,P031,E006,19,1045
ORD0000214,2024-03-11,CUST0298,P032,E001,17,1870
ORD0000215,2023-02-02,CUST0070,P027,E006,10,950
ORD0000216,2024-03-26,CUST0139,P025,E002,3,270
ORD0000217,2023-02-05,CUST0149,P024,E005,13,2275
ORD0000218,2023-10-02,CUST0154,P025,E006,8,720
ORD0000219,2024-11-22,CUST0015,P028,E003,2,280
ORD0000220,2023-11-19,CUST0338,P027,E008,19,1805
ORD0000221,2023-04-05,CUST0105,P003,E005,20,3600
ORD0000222,2024-08-12,CUST0284,P022,E009,12,1560
ORD0000223,2023-04-15,CUST0157,P014,E007,16,480
ORD0000224,2024-11-11,CUST0239,P018,E006,7,840
ORD0000225,2024-01-20,CUST0308,P028,E010,17,2380
ORD0000226,2022-02-07,CUST0110,P002,E005,13,1105
ORD0000227,2022-08-18,CUST0190,P005,E001,2,130
ORD0000228,2023-07-17,CUST0056,P017,E001,17,1020
ORD0000229,2023-03-14,CUST0258,P013,E002,14,840
ORD0000230,2022-01-27,CUST0082,P006,E008,11,330
ORD0000231,2022-08-14,CUST0193,P031,E009,1,55
ORD0000232,2024-03-08,CUST0319,P025,E002,16,1440
ORD0000233,2022-10-11,CUST0060,P031,E006,15,825
ORD0000234,2024-05-28,CUST0284,P031,E009,19,1045
ORD0000235,2024-08-17,CUST0044,P006,E010,20,600
ORD0000236,2023-03-29,CUST0290,P021,E010,20,3600
ORD0000237,2024-10-16,CUST0167,P031,E010,11,605
ORD0000238,2024-03-26,CUST0260,P009,E004,12,480
ORD0000239,2023-10-21,CUST0235,P025,E008,16,1440
ORD0000240,2023-07-01,CUST0156,P013,E006,5,300
ORD0000241,2024-12-08,CUST0295,P029,E005,10,800
ORD0000242,2022-01-17,CUST0193,P013,E007,8,480
ORD0000243,2022-06-07,CUST0173,P014,E007,2,60
ORD0000244,2023-04-22,CUST0328,P017,E008,11,660
ORD0000245,2024-12-05,CUST0317,P023,E006,4,260
ORD0000246,2023-06-02,CUST0316,P004,E002,4,440
ORD0000247,2022-04-09,CUST0051,P012,E005,8,200
ORD0000248,2024-11-26,CUST0112,P027,E001,16,1520
ORD0000249,2022-10-07,CUST0045,P013,E007,5,300
ORD0000250,2023-05-12,CUST0287,P006,E010,15,450
ORD0000251,2022-10-29,CUST0135,P019,E004,19,2755
ORD0000252,2022-06-30,CUST0307,P023,E007,9,585
ORD0000253,2023-08-30,CUST0194,P020,E003,14,2940
ORD0000254,2023-12-01,CUST0297,P009,E001,11,440
ORD0000255,2024-09-19,CUST0117,P004,E004,13,1430
ORD0000256,2022-07-10,CUST0068,P009,E010,6,240
ORD0000257,2022-09-10,CUST0266,P025,E008,7,630
ORD0000258,2024-09-07,CUST0099,P013,E006,4,240
ORD0000259,2024-07-16,CUST0321,P027,E009,13,1235
ORD0000260,2022-05-08,CUST0259,P020,E006,20,4200
ORD0000261,2022-01-18,CUST0081,P011,E007,19,1045
ORD0000262,2023-07-20,CUST0298,P011,E005,19,1045
ORD0000263,2023-07-24,CUST0072,P001,E004,3,960
ORD0000264,2023-11-17,CUST0030,P010,E001,10,350
ORD0000265,2023-09-18,CUST0328,P017,E004,11,660
ORD0000266,2024-05-03,CUST0221,P017,E002,3,180
ORD0000267,2024-08-19,CUST0250,P006,E007,1,30
ORD0000268,2022-06-04,CUST0243,P032,E003,13,1430
ORD0000269,2023-05-05,CUST0024,P022,E007,17,2210
ORD0000270,2024-02-24,CUST0329,P005,E001,20,1300
ORD0000271,2022-09-03,CUST0340,P031,E003,2,110
ORD0000272,2024-11-28,CUST0293,P027,E001,18,1710
ORD0000273,2024-01-29,CUST0275,P024,E010,15,2625
ORD0000274,2023-06-22,CUST0261,P005,E001,5,325
ORD0000275,2024-07-09,CUST0216,P018,E006,14,1680
ORD0000276,2023-02-12,CUST0052,P013,E003,10,600
ORD0000277,2023-06-09,CUST0136,P012,E004,12,300
ORD0000278,2024-04-07,CUST0238,P030,E003,16,1920
ORD0000279,2024-06-21,CUST0004,P016,E001,11,825
ORD0000280,2022-02-05,CUST0236,P027,E004,18,1710
ORD0000281,2023-11-16,CUST0200,P005,E001,13,845
ORD0000282,2022-01-20,CUST0073,P030,E008,8,960
ORD0000283,2022-11-17,CUST0041,P018,E005,15,1800
ORD0000284,2023-05-27,CUST0247,P022,E003,2,260
ORD0000285,2023-02-04,CUST0031,P007,E004,17,1615
ORD0000286,2023-10-16,CUST0095,P028,E003,3,420
ORD0000287,2024-08-29,CUST0060,P019,E003,18,2610
ORD0000288,2023-04-16,CUST0296,P015,E001,14,280
ORD0000289,2024-04-13,CUST0025,P030,E003,4,480
ORD0000290,2023-12-28,CUST0197,P006,E004,3,90
ORD0000291,2024-05-03,CUST0317,P028,E009,1,140
ORD0000292,2022-02-20,CUST0327,P013,E004,5,300
ORD0000293,2023-07-29,CUST0064,P005,E008,12,780
ORD0000294,2022-05-30,CUST0335,P030,E001,7,840
ORD0000295,2022-11-10,CUST0177,P024,E010,7,1225
ORD0000296,2023-07-24,CUST0301,P007,E004,7,665
ORD0000297,2022-11-01,CUST0190,P013,E002,13,780
ORD0000298,2023-11-13,CUST0052,P032,E001,5,550
ORD0000299,2024-04-17,CUST0031,P028,E004,20,2800
ORD0000300,2024-12-13,CUST0184,P004,E005,19,2090
ORD0000301,2024-09-29,CUST0117,P023,E006,11,715
ORD0000302,2023-03-20,CUST0073,P006,E004,4,120
ORD0000303,2023-09-05,CUST0147,P025,E003,10,900
ORD0000304,2024-09-19,CUST0124,P005,E001,20,1300
ORD0000305,2022-09-21,CUST0326,P010,E009,16,560
ORD0000306,2024-12-12,CUST0182,P028,E005,11,1540
ORD0000307,2024-09-30,CUST0100,P027,E003,20,1900
ORD0000308,2022-01-05,CUST0318,P022,E003,7,910
ORD0000309,2024-02-13,CUST0178,P031,E003,7,385
ORD0000310,2024-05-26,CUST0166,P009,E007,14,560
ORD0000311,2024-09-18,CUST0010,P028,E001,18,2520
ORD0000312,2024-06-02,CUST0163,P032,E004,13,1430
ORD0000313,2022-02-16,CUST0046,P017,E010,8,480
ORD0000314,2024-05-16,CUST0280,P027,E007,15,1425
ORD0000315,2024-04-02,CUST0098,P017,E003,20,1200
ORD0000316,2024-07-24,CUST0115,P021,E008,6,1080
ORD0000317,2023-10-18,CUST0329,P012,E008,15,375
ORD0000318,2022-09-26,CUST0207,P002,E007,3,255
ORD0000319,2023-01-05,CUST0091,P028,E009,15,2100
ORD0000320,2023-09-28,CUST0347,P017,E007,19,1140
ORD0000321,2023-10-19,CUST0127,P024,E007,7,1225
ORD0000322,2022-04-30,CUST0237,P028,E010,13,1820
ORD0000323,2024-04-10,CUST0027,P030,E004,3,360
ORD0000324,2024-12-17,CUST0026,P008,E005,5,775
ORD0000325,2024-01-11,CUST0172,P006,E002,7,210
ORD0000326,2022-04-27,CUST0145,P029,E007,4,320
ORD0000327,2024-03-01,CUST0154,P025,E004,3,270
ORD0000328,2024-10-09,CUST0312,P021,E009,15,2700
ORD0000329,2024-12-17,CUST0222,P028,E002,3,420
ORD0000330,2023-09-26,CUST0082,P005,E008,7,455
ORD0000331,2023-05-28,CUST0220,P014,E007,3,90
ORD0000332,2024-03-12,CUST0232,P029,E004,19,1520
ORD0000333,2023-07-14,CUST0144,P011,E009,9,495
ORD0000334,2023-05-03,CUST0258,P005,E007,3,195
ORD0000335,2024-06-15,CUST0329,P007,E005,13,1235
ORD0000336,2023-12-05,CUST0191,P014,E001,2,60
ORD0000337,2023-08-04,CUST0320,P031,E010,8,440
ORD0000338,2024-02-29,CUST0065,P007,E003,9,855
ORD0000339,2024-05-10,CUST0155,P030,E008,5,600
ORD0000340,2022-09-04,CUST0246,P005,E006,11,715
ORD0000341,2022-06-03,CUST0137,P022,E010,7,910
ORD0000342,2024-09-23,CUST0347,P019,E007,19,2755
ORD0000343,2023-11-28,CUST0167,P003,E002,9,1620
ORD0000344,2024-12-28,CUST0163,P017,E005,5,300
ORD0000345,2024-12-06,CUST0161,P002,E005,15,1275
ORD0000346,2024-10-05,CUST0334,P027,E003,2,190
ORD0000347,2022-04-04,CUST0001,P016,E006,2,150
ORD0000348,2024-08-15,CUST0178,P010,E004,20,700
ORD0000349,2024-10-08,CUST0327,P001,E002,17,5440
ORD0000350,2023-03-29,CUST0244,P022,E001,2,260
ORD0000351,2024-06-30,CUST0180,P022,E003,3,390
ORD0000352,2022-08-06,CUST0290,P010,E007,13,455
ORD0000353,2023-04-19,CUST0238,P031,E001,12,660
ORD0000354,2023-03-08,CUST0117,P014,E009,14,420
ORD0000355,2022-12-07,CUST0348,P020,E006,4,840
ORD0000356,2023-07-05,CUST0007,P008,E009,6,930
ORD0000357,2022-12-23,CUST0174,P019,E002,1,145
ORD0000358,2022-01-23,CUST0116,P017,E008,17,1020
ORD0000359,2023-06-06,CUST0255,P002,E008,6,510
ORD0000360,2024-03-12,CUST0079,P026,E001,17,1445
ORD0000361,2024-02-01,CUST0024,P015,E007,12,240
ORD0000362,2023-03-18,CUST0091,P010,E009,8,280
ORD0000363,2024-02-08,CUST0039,P003,E009,12,2160
ORD0000364,2024-10-12,CUST0195,P023,E005,4,260
ORD0000365,2023-05-31,CUST0330,P021,E009,16,2880
ORD0000366,2024-11-05,CUST0204,P030,E009,16,1920
ORD0000367,2024-03-02,CUST0169,P013,E004,17,1020
ORD0000368,2022-12-02,CUST0157,P014,E010,12,360
ORD0000369,2022-09-15,CUST0200,P019,E001,3,435
ORD0000370,2023-05-12,CUST0273,P031,E006,14,770
ORD0000371,2024-06-14,CUST0271,P027,E005,14,1330
ORD0000372,2022-06-09,CUST0004,P028,E003,18,2520
ORD0000373,2024-05-01,CUST0149,P031,E003,15,825
ORD0000374,2023-11-21,CUST0071,P025,E005,15,1350
ORD0000375,2023-01-15,CUST0046,P009,E006,15,600
ORD0000376,2024-08-14,CUST0212,P024,E006,8,1400
ORD0000377,2023-11-22,CUST0135,P020,E007,4,840
ORD0000378,2024-12-02,CUST0110,P013,E001,6,360
ORD0000379,2022-10-12,CUST0198,P019,E008,8,1160
ORD0000380,2023-02-01,CUST0100,P015,E002,5,100
ORD0000381,2022-01-12,CUST0052,P009,E001,5,200
ORD0000382,2023-05-14,CUST0003,P009,E002,9,360
ORD0000383,2024-01-24,CUST0109,P001,E009,8,2560
ORD0000384,2022-02-04,CUST0159,P016,E003,20,1500
ORD0000385,2023-12-28,CUST0344,P011,E007,3,165
ORD0000386,2024-04-28,CUST0063,P021,E006,8,1440
ORD0000387,2022-03-31,CUST0152,P024,E006,9,1575
ORD0000388,2024-02-15,CUST0176,P006,E008,19,570
ORD0000389,2023-08-28,CUST0100,P017,E003,10,600
ORD0000390,2024-08-27,CUST0291,P021,E004,20,3600
ORD0000391,2024-10-18,CUST0025,P007,E005,9,855
ORD0000392,2023-02-22,CUST0184,P029,E005,10,800
ORD0000393,2022-04-25,CUST0247,P002,E006,2,170
ORD0000394,2023-09-09,CUST0021,P021,E010,16,2880
ORD0000395,2024-04-05,CUST0143,P015,E010,8,160
ORD0000396,2023-02-17,CUST0226,P005,E005,19,1235
ORD0000397,2023-12-30,CUST0131,P015,E001,17,340
ORD0000398,2024-10-17,CUST0010,P030,E004,16,1920
ORD0000399,2024-01-31,CUST0178,P024,E005,12,2100
ORD0000400,2023-11-07,CUST0207,P020,E005,10,2100
ORD0000401,2023-04-02,CUST0126,P017,E003,17,1020
ORD0000402,2024-07-08,CUST0336,P020,E007,3,630
ORD0000403,2022-07-11,CUST0013,P013,E005,17,1020
ORD0000404,2024-01-09,CUST0044,P007,E006,15,1425
ORD0000405,2024-09-04,CUST0236,P008,E009,2,310
ORD0000406,2024-10-05,CUST0175,P007,E008,13,1235
ORD0000407,2022-04-06,CUST0250,P014,E005,19,570
ORD0000408,2023-10-25,CUST0055,P016,E004,18,1350
ORD0000409,2022-02-06,CUST0161,P024,E001,4,700
ORD0000410,2022-10-06,CUST0272,P031,E005,14,770
ORD0000411,2022-08-05,CUST0048,P022,E004,13,1690
ORD0000412,2024-05-16,CUST0291,P003,E010,15,2700
ORD0000413,2024-05-22,CUST0051,P005,E004,6,390
ORD0000414,2022-03-03,CUST0334,P015,E008,4,80
ORD0000415,2023-08-19,CUST0105,P015,E002,18,360
ORD0000416,2023-12-30,CUST0347,P011,E008,5,275
ORD0000417,2023-02-01,CUST0242,P029,E010,4,320
ORD0000418,2023-11-30,CUST0350,P006,E009,9,270
ORD0000419,2024-11-08,CUST0291,P032,E001,19,2090
ORD0000420,2022-06-26,CUST0012,P001,E010,9,2880
ORD0000421,2023-01-31,CUST0104,P014,E003,7,210
ORD0000422,2023-03-21,CUST0035,P004,E010,7,770
ORD0000423,2022-03-17,CUST0226,P011,E001,2,110
ORD0000424,2022-09-22,CUST0167,P013,E002,18,1080
ORD0000425,2023-03-31,CUST0128,P003,E005,19,3420
ORD0000426,2023-12-19,CUST0204,P021,E009,20,3600
ORD0000427,2024-01-05,CUST0284,P013,E004,13,780
ORD0000428,2024-04-30,CUST0211,P011,E006,9,495
ORD0000429,2022-05-24,CUST0011,P025,E005,1,90
ORD0000430,2024-06-03,CUST0284,P006,E007,1,30
ORD0000431,2024-12-28,CUST0232,P011,E008,11,605
ORD0000432,2023-01-31,CUST0020,P026,E008,9,765
ORD0000433,2024-11-14,CUST0243,P007,E004,19,1805
ORD0000434,2024-08-05,CUST0314,P024,E010,4,700
ORD0000435,2024-06-09,CUST0296,P032,E002,11,1210
ORD0000436,2023-07-23,CUST0263,P027,E002,2,190
ORD0000437,2024-11-28,CUST0342,P004,E007,17,1870
ORD0000438,2022-04-19,CUST0256,P027,E007,15,1425
ORD0000439,2024-12-01,CUST0076,P015,E001,18,360
ORD0000440,2024-07-23,CUST0349,P023,E003,16,1040
ORD0000441,2023-02-02,CUST0035,P002,E005,9,765
ORD0000442,2023-09-26,CUST0107,P008,E001,7,1085
ORD0000443,2024-01-03,CUST0150,P010,E007,9,315
ORD0000444,2022-08-23,CUST0274,P028,E001,8,1120
ORD0000445,2023-10-20,CUST0086,P024,E003,4,700
ORD0000446,2024-01-21,CUST0083,P001,E007,1,320
ORD0000447,2023-08-11,CUST0034,P006,E002,18,540
ORD0000448,2024-10-29,CUST0330,P016,E003,4,300
ORD0000449,2024-08-11,CUST0083,P012,E010,18,450
ORD0000450,2023-05-07,CUST0102,P016,E003,12,900
ORD0000451,2024-07-01,CUST0009,P007,E004,18,1710
ORD0000452,2022-06-19,CUST0307,P011,E006,7,385
ORD0000453,2024-08-03,CUST0028,P027,E001,17,1615
ORD0000454,2024-03-05,CUST0222,P030,E005,1,120
ORD0000455,2023-09-26,CUST0281,P021,E007,12,2160
ORD0000456,2022-01-29,CUST0210,P002,E007,20,1700
ORD0000457,2022-12-05,CUST0026,P030,E010,4,480
ORD0000458,2023-05-15,CUST0147,P021,E007,8,1440
